"Time (s)";"Recording (a.u.)"
1.508333333E-2;3.189089766E-4
1.510416667E-2;1.312176813E-3
1.512500000E-2;2.044985769E-3
1.514583333E-2;7.123188116E-4
1.516666667E-2;-3.608811239E-4
1.518750000E-2;4.066147958E-4
1.520833333E-2;1.157595310E-3
1.522916667E-2;8.845740813E-4
1.525000000E-2;1.355263288E-3
1.527083333E-2;2.446572296E-3
1.529166667E-2;2.027557231E-3
1.531250000E-2;1.831788570E-3
1.533333333E-2;3.099789144E-3
1.535416667E-2;2.710114932E-3
1.537500000E-2;7.229081239E-4
1.539583333E-2;7.041805075E-4
1.541666667E-2;2.266299911E-3
1.543750000E-2;2.487364225E-3
1.545833333E-2;1.403095201E-3
1.547916667E-2;7.572738104E-4
1.550000000E-2;9.639268392E-4
1.552083333E-2;1.715229359E-3
1.554166667E-2;2.103528241E-3
1.556250000E-2;1.327222679E-3
1.558333333E-2;1.219019527E-3
